Company Name, Amount
RECRUIT EXPRESS PTE LTD,147
SCIENTE INTERNATIONAL PTE. LTD.,93
Shopee,49
TikTok,48
MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,47
Aon,46
IKAS INTERNATIONAL (ASIA) PTE. LTD.,36
Razer Inc.,34
Munich Re,33
Synapxe,33
RANDSTAD PTE. LIMITED,31
SHARKNINJA APAC HOLDING PTE. LTD.,31
HUDSON RPO (SINGAPORE) PTE. LTD.,29
NATIONAL UNIVERSITY HEALTH SERVICES GROUP PTE. LTD.,29
Elliott Moss Consulting Pte Ltd,27
LYNEER CORP (SINGAPORE) PTE. LTD.,26
ZENITH INFOTECH (S) PTE LTD.,24
Razer (Asia-Pacific) Pte Ltd,24
EPS COMPUTER SYSTEMS PTE LTD,24
BEARINGPOINT CONSULTING PTE. LTD.,23
GIC PRIVATE LIMITED,23
ByteDance,21
ACHIEVE SUCCESS PTE. LTD.,21
XFERS PTE. LTD.,20
TALENTS@WORK PTE. LTD.,19
