job_title,company_name,location,salary,skills,date_posted
Gen AI evaluators (Data Analyst),Helius Technologies Pte Ltd,Singapore,"3 - 6 Years
•
SGD 5,000 - 5,500 per month",Gen AI,Posted 3 hours ago
Data Analyst,U3 Infotech Pte Ltd,Singapore,"SGD 7,000 - 10,000 per month","metadata
Excel",Posted 10 days ago
Data Analyst,Intellect Minds Pte Ltd,Singapore,"1 - 4 Years
•
SGD 3,000 - 5,000 per month","Data Analyst
Python
Sql",Posted 10 days ago
Data Analyst,Elliott Moss Consulting Pte Ltd,Singapore,"SGD 4,000 - 6,000 per month","snowflake
Data Analyst
Denodo
Uat
Tableau
Oracle Pl/sql",Posted 10 days ago
Data Analyst,Elliott Moss Consulting Pte Ltd,Singapore,"SGD 6,300 - 8,300 per month","snowflake
Data Analyst
User Acceptance Testing
Denodo
Oracle PL/SQL
Tableau",Posted 10 days ago
Data Analyst,Quesscorp Singapore Pte Ltd,Singapore,"5 - 8 Years
•
SGD 7,000 - 10,000 per month",Python,Posted 8 days ago
Data Analyst,Quesscorp Singapore Pte Ltd,Singapore,"5 - 8 Years
•
SGD 11,000 - 14,000 per month",dmp,Posted 8 days ago
"Trust & Safety, Data Analyst (Content Moderation, SQL), 6 months contract",Optimum Solutions (Singapore) Pte Ltd,Singapore,"SGD 4,500 - 5,600 per month","Python Scripting
Sql",Posted 15 days ago
Data Analyst,Ambition Group Singapore Pte Ltd,Singapore,"SGD 3,700 - 4,000 per month","Data Analyst
Business Analytics
Business Administration
Power Bi",Posted 18 days ago
Data Analyst - Corporate Information System - Dubai,Byte Dance,Singapore,3 - 5 Years,"R
Powerbi
Tableau
Sql
Python",Posted 19 hours ago
Data Analyst,APAR TECHNOLOGIES PTE. LTD.,"Shenton Way, Singapore",2 - 5 Years,"Data Analysis
technical functional documentation
snowflake
Quality Checks
Oracle Pl Sql
data reconciliation
Tableau",Posted 2 days ago
Data Analyst/Engineer,FASTSTREAM RECRUITMENT PTE. LTD.,Singapore,6 - 8 Years,"Hive SQL
R
Looker
Sklearn
Tensorflow
Numpy
Pandas
Tableau
Sql
Python",Posted 2 days ago
Data Analyst,RISKINSIGHT CONSULTING PTE. LTD.,Singapore,4 - 7 Years,"PDPA
basel iii
Nosql
Gdpr
Power Bi
MySQL
SQL Server
Data Visualization
Sql",Posted 2 days ago
"Data Analyst, Migration Project",BEARINGPOINT CONSULTING PTE. LTD.,"Singapore, Robinson",3 - 5 Years,"Word
Data Mapping
Powerpoint
Data Profiling
Microsoft Office
Excel
Itil",Posted 2 days ago
"Data Analyst, Digital Manufacturing",GLOBALFOUNDRIES SINGAPORE PTE. LTD.,"Singapore, Woodlands",1 - 3 Years,"engineering principles
Robotics
Automations
Autonomous Systems
Ai
project management tools
Ml
Iot",Posted 2 days ago
Data Analyst,,Singapore,5 - 8 Years,"investment data domain knowledge
Data Analysis
snowflake
documentation support
Quality Checks
Oracle Pl Sql
data reconciliation
Uat
Tableau",Posted 2 days ago
"Data Analyst, Digital Manufacturing",Helius Technologies Pte Ltd,"Singapore, Woodlands",1 - 3 Years,"engineering principles
Robotics
Automations
Autonomous Systems
Ai
project management tools
Ml
Iot",Posted 2 days ago
Data Analyst,NEARSOURCE PTE. LTD.,Singapore,4 - 7 Years,"PDPA
basel iii
Nosql
Gdpr
Power Bi
MySQL
SQL Server
Data Visualization
Sql",Posted 2 days ago
"Data Analyst, Migration Project",GLOBALFOUNDRIES SINGAPORE PTE. LTD.,"Singapore, Robinson",3 - 5 Years,"Word
Data Mapping
Powerpoint
Data Profiling
Microsoft Office
Excel
Itil",Posted 2 days ago
"Data Analyst Temp, Young Talent (3 Months)",RISKINSIGHT CONSULTING PTE. LTD.,Singapore,Fresher,"Tableau
Excel
Sql",Posted 2 days ago
Senior Regulatory Compliance and Data Analyst,BEARINGPOINT CONSULTING PTE. LTD.,Singapore,3 - 5 Years,"data governance principles
Airflow
data pipelines
data management tools
R
dbt
dashboard software
Looker Studio
data privacy regulations
Power Bi
Data Cleaning
Tableau
Sql
google drive
Data Visualization
Python",Posted 2 days ago
Data Analyst,Enterprise Singapore,Singapore,2 - 4 Years,"Novacura Flow
AVEVA Pi Vision
AVEVA Work Tasks
UOC
Microsoft Power Bi
Databricks
Dax
Python
Sql",Posted 2 days ago
