,job_title,company_name,location,experience,date_posted,currency,min_salary,max_salary,median_salary
0,Data Analyst,Ambition Group Singapore Pte Ltd,Singapore,,Posted 5 days ago,SGD,3700.0,4000.0,3850.0
1,Data Analyst,U3 Infotech Pte Ltd,Singapore,,Posted 18 days ago,SGD,7000.0,10000.0,8500.0
2,Gen AI evaluators (Data Analyst),Helius Technologies Pte Ltd,Singapore,,Posted 26 days ago,SGD,5000.0,5500.0,5250.0
3,Business Data Analyst,Elliott Moss Consulting Pte Ltd,Singapore,,Posted 23 days ago,,,,
4,Data Analyst (Metadata),Elliott Moss Consulting Pte Ltd,Singapore,,Posted 26 days ago,,,,
5,Associate Data Scientist/ Data Analyst,RANDSTAD PTE. LIMITED,Singapore,3,Posted 19 hours ago,,,,
6,"VP, Data Analyst, T&O Data Chapter, Group Transformation",DBS Bank,Singapore,11,Posted 2 days ago,,,,
7,Data Analyst,Selby Jennings,Singapore,1,Posted 11 days ago,,,,
8,Data Analyst,JobAlly,Singapore,3,Posted 10 days ago,,,,
9,Data Analyst,foodpanda,Singapore,3,Posted 13 days ago,,,,
10,Distribution Data Analyst - Contract,Wiley,Singapore,1,Posted 12 days ago,,,,
11,Junior Data Analyst,Kpler,Singapore,1,Posted 13 days ago,,,,
12,Data Analyst (Proficient in Hindi/Tamil Language),Manpower Singapore,Singapore,1,Posted 17 days ago,,,,
13,Data Analyst (Proficient in Hindi/Tamil Language),Manpower Singapore,Singapore,1,Posted 17 days ago,,,,
14,Data Analyst Intern,Razer Inc.,Singapore,1,Posted 19 days ago,,,,
15,Senior Data Analyst (Marketing),,Singapore,6,Posted 18 days ago,,,,
16,Senior Data Analyst - Global Business Support,Ambition Group Singapore Pte Ltd,Singapore,1,Posted 16 days ago,,,,
17,Data Analyst Intern,ExpressVPN,Singapore,1,Posted 19 days ago,,,,
18,"Data Analyst - Business Intelligence, Regional Operations",OKX,Singapore,1,Posted 15 days ago,,,,
19,Data Analyst,Razer Inc.,Singapore,3,Posted 17 days ago,,,,
20,"Data Analyst - Marketing Analytics, Regional Brand & Growth Marketing",Shopee,Singapore,1,Posted 17 days ago,,,,
21,Data Analyst - Global Payment - Singapore,Tech Grid Asia,Singapore,6,Posted 19 days ago,,,,
22,Data Analyst,Shopee,Singapore,6,Posted 18 days ago,,,,
23,Data Analyst,ByteDance,Singapore,6,Posted 19 days ago,,,,
24,"TikTok Shop - Senior E-commerce Data Analyst , Logistics (Singapore)",Shell Infotech,Singapore,6,Posted 17 days ago,,,,
25,E-commerce Data Analyst,"Williams-Sonoma, Inc.",Singapore,4,Posted 16 days ago,,,,
26,"Data Analyst, Singapore",TikTok,Singapore,6,Posted 17 days ago,,,,
27,Data Analyst - E-commerce User Growth,TikTok,Singapore,4,Posted 17 days ago,,,,
28,TikTok Shop - Data Analyst,TikTok,Singapore,4,Posted 16 days ago,,,,
29,Data Analyst (Contract),TikTok,Singapore,2,Posted 14 days ago,,,,
30,"Senior Data Analyst, Regional BI & Planning",TikTok,Singapore,3,Posted 28 days ago,,,,
31,"Assistant Lead Data Analyst, Regional BI & Planning",JTC Corporation,Singapore,6,Posted 29 days ago,,,,
32,Data Analyst - Fintech Company,,Singapore,1,Posted 28 days ago,,,,
33,Data Analyst Intern,ExpressVPN,Singapore,1,Posted 21 days ago,,,,
34,"AVP, Senior Data Analyst, Data Governance (GDMO)",Shopee,Singapore,4,Posted 25 days ago,,,,
35,Data Analyst (Internship),Shopee,Singapore,1,Posted 27 days ago,,,,
36,Data Analyst - AI Innovation Business,Empower Partners Singapore,Singapore,4,Posted 29 days ago,,,,
37,Marketing Data Analyst,Allianz Insurance Singapore,Singapore,4,Posted 29 days ago,,,,
38,Lead Data Analyst (International Centre for Aviation Innovation),OCBC,Singapore,1,Posted 29 days ago,,,,
39,"Sr Data Analyst , Information Analytics Services",ShopBack,Singapore,6,Posted 23 days ago,,,,
40,Aug/Sept 2025 Data Analyst (HealthTech Associate Programme),ByteDance,Singapore,1,Posted 29 days ago,,,,
41,"Associate Manager, Data Analyst",BTSE,Singapore,6,Posted 21 days ago,,,,
42,"Senior Data Analyst, Trading Product",Civil Aviation Authority of Singapore,Singapore,5,Posted 21 days ago,,,,
43,Lead Data Analyst,Tan Tock Seng Hospital,Singapore,9,Posted 25 days ago,,,,
44,Data Analyst,Synapxe,Singapore,3,Posted 27 days ago,,,,
45,Senior Data Analyst,KPMG Singapore,Singapore,4,Posted 23 days ago,,,,
46,"Data Analyst (Senior Associate) - Marketing Analytics, Regional Brand & Growth Marketing",OKX,Singapore,4,Posted 29 days ago,,,,
47,Data Analyst - Buyer & Marketing (2025 Fresh Graduates),Ubisoft,Singapore,1,Posted 29 days ago,,,,
48,Regional Marketplace Operations Data Analyst,SPH Media,Singapore,1,Posted 25 days ago,,,,
49,Data Analyst,,Singapore,1,Posted 25 days ago,,,,
50,Actuarial Data Analyst,Shopee,Singapore,1,Posted 29 days ago,,,,
51,Data Analyst - Regional Operations,QCP,Singapore,3,Posted 25 days ago,,,,
52,Data Analyst & Business Strategy Director,Shopee,Singapore,6,Posted 24 days ago,,,,
53,Data Analyst,Shopee,Singapore,4,Posted 21 days ago,,,,
54,Data Analyst (Digital Transformation),Shopee,Singapore,3,Posted 22 days ago,,,,
55,"Sr Data Analyst, Information Management Systems",Mighty Bear Games,Singapore,3,Posted 25 days ago,,,,
56,Data Analyst (BI&A) - SeaMoney Credit,Munich Re,Singapore,1,Posted 25 days ago,,,,
57,"Data Analyst, Data Centre",Shopee,Singapore,1,Posted 24 days ago,,,,
58,Data Analyst,OKX,Singapore,1,Posted 22 days ago,,,,
59,Associate Data Analyst,OSL,Singapore,1,Posted 23 days ago,,,,
60,Data Analyst (Digital Transformation),GMP Technologies,Singapore,3,Posted 22 days ago,,,,
61,"Sr Data Analyst, Information Management Systems",Tan Tock Seng Hospital,Singapore,3,Posted 25 days ago,,,,
62,Data Analyst,SeaMoney,Singapore,4,Posted 21 days ago,,,,
63,Data Analyst,Singtel,Singapore,1,Posted 22 days ago,,,,
64,"Data Analyst (1-year Contract, with possibility of renewal)",N2S.Global,Singapore,2,Posted 21 days ago,,,,
65,Senior/ Data Analyst (Data Engineering) (Contract),Aon,Singapore,3,Posted a month ago,,,,
66,Data Analyst,,"Singapore, Kallang",,Posted a month ago,USD,42000.0,66000.0,54000.0
67,Strategy Data Analyst,QCP,Singapore,,Posted a month ago,USD,78000.0,102000.0,90000.0
68,Data Analyst,GMP Technologies,"Singapore, Cecil Street",,Posted a month ago,USD,48000.0,60000.0,54000.0
69,Data Analyst,Tan Tock Seng Hospital,Singapore,,Posted a month ago,USD,60000.0,96000.0,78000.0
70,Data Analyst (JD#9795),OSL,Singapore,,Posted a month ago,USD,48000.0,66000.0,57000.0
71,Data Analyst,N2S.Global,"Singapore, Toa Payoh",,Posted a month ago,USD,60000.0,84000.0,72000.0
72,DATA ANALYST / UP TO 10K,Singapore International Arbitration Centre,"Singapore, Raffles Link / Raffles Place",,Posted a month ago,USD,84000.0,120000.0,102000.0
73,Data Analyst (JD#9784),NATIONAL UNIVERSITY HEALTH SERVICES GROUP PTE. LTD.,Singapore,,Posted a month ago,USD,42000.0,60000.0,51000.0
74,Data Analyst,PYLON.AI PTE. LTD.,"Singapore, Raffles Link / Raffles Place",,Posted a month ago,USD,60000.0,63600.0,61800.0
75,Senior/ Data Analyst (Data Analytics) (Contract),XFERS PTE. LTD.,Singapore,3,Posted a month ago,,,,
76,Data Analyst,INNOCELLENCE SYSTEMS PTE. LTD.,Singapore,,Posted a month ago,USD,84000.0,96000.0,90000.0
77,Business & Data Analyst,ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,"Scotts Road, Singapore",,Posted a month ago,USD,54000.0,84000.0,69000.0
78,"Intern, Product Management (Data Analyst)",SCIENTE INTERNATIONAL PTE. LTD.,Singapore,1,Posted a month ago,,,,
79,EOSH Data Analyst - Intern,SPH MEDIA LIMITED,Singapore,1,Posted a month ago,,,,
80,Data Analyst,AEON SEARCH CONSULTING PTE. LTD.,Singapore,1,Posted a month ago,,,,
81,Data Analyst (JD#9784),SCIENTE INTERNATIONAL PTE. LTD.,Singapore,,Posted a month ago,USD,42000.0,60000.0,51000.0
82,Data Analyst,CTES CONSULTING PTE. LTD.,Singapore,,Posted a month ago,USD,48000.0,60000.0,54000.0
83,DATA ANALYST / UP TO 10K,,"Singapore, Raffles Link / Raffles Place",,Posted a month ago,USD,84000.0,120000.0,102000.0
84,Data Analyst (Risk),GMP Technologies,Singapore,,Posted a month ago,USD,84000.0,168000.0,126000.0
