,job_title,company_name,location,date_posted,experience,currency,min_salary,max_salary,median_salary
0,Gen AI evaluators (Data Analyst),Helius Technologies Pte Ltd,Singapore,Posted 3 hours ago,,SGD,5000.0,5500.0,5250.0
1,Data Analyst,U3 Infotech Pte Ltd,Singapore,Posted 10 days ago,,SGD,7000.0,10000.0,8500.0
2,Data Analyst,Intellect Minds Pte Ltd,Singapore,Posted 10 days ago,,SGD,3000.0,5000.0,4000.0
3,Data Analyst,Elliott Moss Consulting Pte Ltd,Singapore,Posted 10 days ago,,SGD,4000.0,6000.0,5000.0
4,Data Analyst,Elliott Moss Consulting Pte Ltd,Singapore,Posted 10 days ago,,SGD,6300.0,8300.0,7300.0
5,Data Analyst,Quesscorp Singapore Pte Ltd,Singapore,Posted 8 days ago,,SGD,7000.0,10000.0,8500.0
6,Data Analyst,Quesscorp Singapore Pte Ltd,Singapore,Posted 8 days ago,,SGD,11000.0,14000.0,12500.0
7,"Trust & Safety, Data Analyst (Content Moderation, SQL), 6 months contract",Optimum Solutions (Singapore) Pte Ltd,Singapore,Posted 15 days ago,,SGD,4500.0,5600.0,5050.0
8,Data Analyst,Ambition Group Singapore Pte Ltd,Singapore,Posted 18 days ago,,SGD,3700.0,4000.0,3850.0
9,Data Analyst - Corporate Information System - Dubai,Byte Dance,Singapore,Posted 19 hours ago,4,,,,
10,Data Analyst,APAR TECHNOLOGIES PTE. LTD.,"Shenton Way, Singapore",Posted 2 days ago,3,,,,
11,Data Analyst/Engineer,FASTSTREAM RECRUITMENT PTE. LTD.,Singapore,Posted 2 days ago,7,,,,
12,Data Analyst,RISKINSIGHT CONSULTING PTE. LTD.,Singapore,Posted 2 days ago,5,,,,
13,"Data Analyst, Migration Project",BEARINGPOINT CONSULTING PTE. LTD.,"Singapore, Robinson",Posted 2 days ago,4,,,,
14,"Data Analyst, Digital Manufacturing",GLOBALFOUNDRIES SINGAPORE PTE. LTD.,"Singapore, Woodlands",Posted 2 days ago,2,,,,
15,Data Analyst,,Singapore,Posted 2 days ago,6,,,,
16,"Data Analyst, Digital Manufacturing",Helius Technologies Pte Ltd,"Singapore, Woodlands",Posted 2 days ago,2,,,,
17,Data Analyst,NEARSOURCE PTE. LTD.,Singapore,Posted 2 days ago,5,,,,
18,"Data Analyst, Migration Project",GLOBALFOUNDRIES SINGAPORE PTE. LTD.,"Singapore, Robinson",Posted 2 days ago,4,,,,
19,"Data Analyst Temp, Young Talent (3 Months)",RISKINSIGHT CONSULTING PTE. LTD.,Singapore,Posted 2 days ago,1,,,,
20,Senior Regulatory Compliance and Data Analyst,BEARINGPOINT CONSULTING PTE. LTD.,Singapore,Posted 2 days ago,4,,,,
21,Data Analyst,Enterprise Singapore,Singapore,Posted 2 days ago,3,,,,
22,Data Analyst (UAT_DataRecon_DataIssueMgmt_PL/SQL),STAMFORD AMERICAN INTERNATIONAL SCHOOL PTE. LTD.,Singapore,Posted 2 days ago,3,,,,
23,Senior Data Analyst - Trading systems APAC,YINSON PRODUCTION OFFSHORE PTE. LTD.,"Shenton Way, Singapore",Posted 2 days ago,7,,,,
24,"Associate Manager, Data Analyst",MALTEM ASIA PTE. LTD.,"Singapore, Marina",Posted 2 days ago,6,,,,
