,skills
0,Gen AI
1,metadata
1,Excel
2,Data Analyst
2,Python
2,Sql
3,snowflake
3,Data Analyst
3,Denodo
3,Uat
3,Tableau
3,Oracle Pl/sql
4,snowflake
4,Data Analyst
4,User Acceptance Testing
4,Denodo
4,Oracle PL/SQL
4,Tableau
5,Python
6,dmp
7,Python Scripting
7,Sql
8,Data Analyst
8,Business Analytics
8,Business Administration
8,Power Bi
9,R
9,Powerbi
9,Tableau
9,Sql
9,Python
10,Data Analysis
10,technical functional documentation
10,snowflake
10,Quality Checks
10,Oracle Pl Sql
10,data reconciliation
10,Tableau
11,Hive SQL
11,R
11,Looker
11,Sklearn
11,Tensorflow
11,Numpy
11,Pandas
11,Tableau
11,Sql
11,Python
12,PDPA
12,basel iii
12,Nosql
12,Gdpr
12,Power Bi
12,MySQL
12,SQL Server
12,Data Visualization
12,Sql
13,Word
13,Data Mapping
13,Powerpoint
13,Data Profiling
13,Microsoft Office
13,Excel
13,Itil
14,engineering principles
14,Robotics
14,Automations
14,Autonomous Systems
14,Ai
14,project management tools
14,Ml
14,Iot
15,investment data domain knowledge
15,Data Analysis
15,snowflake
15,documentation support
15,Quality Checks
15,Oracle Pl Sql
15,data reconciliation
15,Uat
15,Tableau
16,engineering principles
16,Robotics
16,Automations
16,Autonomous Systems
16,Ai
16,project management tools
16,Ml
16,Iot
17,PDPA
17,basel iii
17,Nosql
17,Gdpr
17,Power Bi
17,MySQL
17,SQL Server
17,Data Visualization
17,Sql
18,Word
18,Data Mapping
18,Powerpoint
18,Data Profiling
18,Microsoft Office
18,Excel
18,Itil
19,Tableau
19,Excel
19,Sql
20,data governance principles
20,Airflow
20,data pipelines
20,data management tools
20,R
20,dbt
20,dashboard software
20,Looker Studio
20,data privacy regulations
20,Power Bi
20,Data Cleaning
20,Tableau
20,Sql
20,google drive
20,Data Visualization
20,Python
21,Novacura Flow
21,AVEVA Pi Vision
21,AVEVA Work Tasks
21,UOC
21,Microsoft Power Bi
21,Databricks
21,Dax
21,Python
21,Sql
22,Implementation monitoring
22,Quality Checks
