Minimum Salary,Median Salary,Maximum Salary
84000.0,126000.0,168000.0
84000.0,126000.0,168000.0
84000.0,126000.0,168000.0
72000.0,108000.0,144000.0
72000.0,108000.0,144000.0
72000.0,108000.0,144000.0
72000.0,108000.0,144000.0
72000.0,108000.0,144000.0
104400.0,120000.0,135600.0
84000.0,108000.0,132000.0
72000.0,99000.0,126000.0
84000.0,102000.0,120000.0
84000.0,102000.0,120000.0
84000.0,102000.0,120000.0
84000.0,102000.0,120000.0
78000.0,90000.0,102000.0
78000.0,90000.0,102000.0
78000.0,90000.0,102000.0
60000.0,78000.0,96000.0
60000.0,78000.0,96000.0
60000.0,78000.0,96000.0
84000.0,90000.0,96000.0
60000.0,78000.0,96000.0
84000.0,90000.0,96000.0
54000.0,69000.0,84000.0
60000.0,72000.0,84000.0
60000.0,72000.0,84000.0
60000.0,72000.0,84000.0
60000.0,72000.0,84000.0
54000.0,69000.0,84000.0
54000.0,69000.0,84000.0
54000.0,66000.0,78000.0
54000.0,66000.0,78000.0
54000.0,66000.0,78000.0
54000.0,66000.0,78000.0
60000.0,66000.0,72000.0
60000.0,66000.0,72000.0
60000.0,63000.0,66000.0
42000.0,54000.0,66000.0
42000.0,54000.0,66000.0
48000.0,57000.0,66000.0
42000.0,54000.0,66000.0
60000.0,61800.0,63600.0
45600.0,54000.0,62400.0
48000.0,54000.0,60000.0
42000.0,51000.0,60000.0
42000.0,51000.0,60000.0
48000.0,54000.0,60000.0
42000.0,51000.0,60000.0
48000.0,54000.0,60000.0
48000.0,54000.0,60000.0
42000.0,48000.0,54000.0
40800.0,47316.0,53832.0
48000.0,50400.0,52800.0
7000.0,8500.0,10000.0
5000.0,5250.0,5500.0
3700.0,3850.0,4000.0
