,skills
0,Data Analyst
0,Business Analytics
0,Business Administration
0,Power Bi
1,metadata
1,Excel
2,Gen AI
3,Business Data Analyst
3,Excel Macro
3,Python
4,metadata
4,Data Analyst
4,Data Governance
5,Data Science
5,Machine Learning
5,Artificial Intelligence
5,Data Visualization
5,Python
6,Qlikview
6,Tableau
6,Python
6,Sql
7,Data Factory
7,Power Bi
7,Python
7,Sql
7,Azure DevOps
8,data analysis automation
8,Power Bi
8,Pl Sql
8,Excel
8,Mssql
8,Sql
9,Looker
9,Tableau
9,Google Analytics
9,Excel
9,Sql
10,SAP ECC HANA
10,Data Analysis
10,Microsoft Office
11,Power Bi
11,Tableau
11,Excel
11,Python
11,Sql
12,Tableau
12,Python
12,Sql
13,data analysis tools
13,search and recommendations engines
13,large language models
13,Machine Learning
13,Tableau
13,Python
13,Sql
14,ChatGPT
14,Amazon Q
14,dbt
14,AI technologies
14,Apache Superset
14,Redshift
14,Sql
15,Data Analysis
15,Powerbi
15,Sql
16,Quick BI
16,Data Gathering
16,Power Bi
16,Python
16,Sql
17,ChatGPT
17,Amazon Q
17,dbt
17,AI technologies
17,Apache Superset
17,Redshift
17,Sql
18,Looker
18,Hive
18,Hadoop
18,Spark
18,Etl Tools
18,Tableau
18,Sql
18,Python
19,machine learning techniques
19,Power Bi
19,Tableau
19,Etl Process
19,Python
19,Sql
20,Hadoop
20,Vba
20,Spark
20,Sql
20,Python
21,Java
21,Golang
21,Hive
21,Spark
21,Sql
22,Data Mapping
22,Data Migration
22,Data Profiling
22,Itil
23,data automation
23,data collection techniques
23,Large Language Models
23,Power Bi
23,data mining
23,Database Design
23,Xml
23,Sql
23,Etl
24,R
24,Python
24,Sql
25,Data Analysis
25,R
25,data statistics
25,Python
25,Sql
26,Hive
26,Hadoop
26,Sql
27,Excel
27,Sql
27,Python
28,Modeling
28,R
28,ab testing
28,Optimization
28,advanced measurement
28,causal inference
28,Python
28,Sql
29,R
29,Qlik Sense
29,Machine Learning
29,Hadoop
29,Artificial Intelligence
29,Power Bi
29,Tableau
29,Python
29,Sql
30,Pyspark
30,Excel
30,Python
30,Sql
31,Spark
31,Excel
31,Python
31,Sql
32,data protection regulations
32,data visualization tools
32,Data Governance
33,R
33,Microstrategy
33,Anaconda
33,Jupyter Notebook
33,Power Bi
33,Vba
33,Excel
33,Sql
33,Python
34,Compliance
34,Data Analysis
34,Treasury Products
34,process improvement
34,commercial banking products
34,Communication Skills
34,Data Management
34,Data Quality
34,Data Analytics
34,Data Governance
35,Sql
35,Python
36,Machine Learning
36,data mining
36,Sql
36,Python
37,data visualization tools
37,Power Bi
37,Tableau
37,Sql
37,Statistical Analysis
38,Advanced Excel functions
38,Python coding
38,Data cleansing and normalization
38,Power Bi
38,Data Visualization
38,Data Architecture
38,Sql Programming
38,Tableau
38,Data Analytics
39,R
39,Statistical Modeling
39,Deep Learning
39,Java
39,Machine Learning
39,Hadoop
39,Spark
39,Python
39,HTML
40,R
40,Data Mining techniques
40,Pl Sql
40,Python
40,Sql
41,Dimensional modelling
41,R
41,Alteryx
41,Power Bi
41,Azure Synapse analytics
41,Azure Databricks
41,Data Analytics
