Skill Name, Amount
strategic insights,144000.0
Crystal Reports,123000.0
Dataiku,123000.0
Fix Protocol,123000.0
Power Platform,123000.0
Autosys,123000.0
Appdynamics,123000.0
Shell,123000.0
Linux,123000.0
Perl,123000.0
Splunk,123000.0
Power Apps,120000.0
Azure DevOps,120000.0
Microsoft Sql Server,114000.0
Analytical Skills,114000.0
Data pipelines,114000.0
Business Intelligence,114000.0
Visio,111000.0
metadata management tools,111000.0
Big Data Technologies,111000.0
Agile,111000.0
Sybase,108000.0
Tsql,108000.0
Oracle,108000.0
Unit Testing,108000.0
